category,n,ratio_7day,ratio_3day
V-Formation/Chevron,171,1.3690476190476193,0.39875389408099693
Mentions Birds,17,1.6,0.36363636363636365
Classic UFO (disc/cigar),298,1.2253968253968255,0.4750957854406131
Light/Fireball,528,1.3447619047619048,0.38407960199004976
All SF Reports,1834,1.4634146341463414,0.45504587155963305
